TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
1327,,33,11,11
1328,,4,55,55
1329,,3,66,66
1330,,24,2,2
1331,,126,1,1
1332,,138,1,1
1333,,26,2,2
1334,,44,15,15
1335,,15,8,8
1336,,35,2,2
1337,,104,2,2
1338,,193,1,1
1339,,33,2,2
1340,,45,1,1
1341,,54,4,4
1342,,170,1,1
1343,,21,7,7
1344,,140,11,11
1345,,86,7,7
1346,,21,20,20
1347,,161,6,6
1348,,2,4,4
1349,,138,2,2
1350,,2,28,28
1351,,45,14,14
1352,,11,31,31
1353,,12,69,69
1354,,1,66,1
1355,,189,2,2
1356,,1,44,44
1357,,173,3,1
1358,,87,2,2
1359,,22,44,1
1360,,5,6,6
1361,,40,4,4
1362,,93,3,3
1363,,98,1,1
1364,,120,1,1
1365,,57,9,9
1366,,138,1,1
1367,,86,5,5
1368,,68,11,11
1369,,5,16,16
1370,,24,6,6
1371,,86,7,5
1372,,97,2,2
1373,,1,77,77
1374,,100,8,8
1375,,25,7,7
1376,,195,1,1
1377,,11,18,18
1378,,22,25,25
1379,,7,71,18
1380,,25,1,1
1381,,114,1,1
1382,,141,1,1
1383,,149,1,1
1384,,170,3,2
1385,,14,17,17
1386,,20,9,9
1387,,24,17,17
1388,,127,17,16
1389,,186,2,2
1390,,28,24,24
1391,,197,1,1
1392,,22,17,17
1393,,16,2,2
1394,,21,3,3
1395,,42,18,18
1396,,19,31,31
1397,,11,43,39
1398,,34,47,6
1399,,64,18,18
1400,,30,15,15
1401,,133,2,2
1402,,59,26,26
1403,,17,23,23
1404,,6,13,13
1405,,59,20,20
1406,,1,73,73
1407,,37,24,6
1408,,18,8,8
1409,,26,10,1
1410,,18,13,13
1411,,34,2,2
1412,,164,3,3
1413,,101,2,2
1414,,18,20,20
1415,,46,2,2
1416,,7,8,1
1417,,109,16,16
1418,,17,22,22
1419,,9,40,1
1420,,33,1,1
1421,,39,1,1
1422,,50,1,1
1423,,77,1,1
1424,,85,1,1
1425,,93,1,1
1426,,96,1,1
1427,,102,1,1
1428,,114,1,1
1429,,148,1,1
1430,,152,1,1
1431,,109,2,2
1432,,64,2,2
1433,,140,5,5
1434,,110,10,9
1435,,6,60,60
1436,,37,3,3
1437,,13,6,6
1438,,60,1,1
1439,,86,2,2
1440,,61,4,4
1441,,37,2,2
1442,,103,15,15
1443,,22,4,4
1444,,175,1,1
1445,,177,1,1
1446,,33,22,22
1447,,89,11,11
1448,,26,9,9
1449,,125,5,5
1450,,31,37,2
1451,,2,62,62
1452,,61,3,3
1453,,85,7,7
1454,,17,5,5
1455,,154,3,3
1456,,27,11,11
1457,,20,11,11
1458,,10,9,9
1459,,185,1,1
1460,,157,2,2
1461,,194,1,1
1462,,38,24,24
1463,,75,41,6
1464,,9,11,11
1465,,58,1,1
1466,,22,2,2
1467,,54,2,2
1468,,178,1,1
1469,,188,1,1
1470,,140,6,6
1471,,55,17,17
1472,,18,12,12
1473,,198,1,1
